ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1
3429,6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,1
3430,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,1
3431,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,1
3432,6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,1
3433,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,1
3434,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,1
3435,6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,1
3436,6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,1
3437,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,1
3438,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,1
3439,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,1
3440,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,1
3441,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,1
3442,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,1
3443,6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,1
3444,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,1
3445,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,1
3446,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,1
3447,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,1
3448,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,1
3449,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,1
3450,6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,1
3451,5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,1
3452,6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,1
3453,6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,1
3454,6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,1
3455,6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,1
3456,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,1
3457,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,1
3458,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,1
3459,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,1
3460,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,1
3461,5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,1
3462,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,1
3463,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,1
3464,7.5,0.21,0.32,4.8,0.056,39,113,0.99393,3.11,0.52,10.2,1
3465,6.7,0.28,0.31,7.4,0.041,7,81,0.99254,3.04,0.47,11.4,1
3466,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,1
3467,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,1
3468,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,1
3469,6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,1
3470,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,1
3471,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,1
3472,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,1
3473,6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,1
3474,6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,1
3475,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,1
3476,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,1
3477,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,1
3478,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,1
3479,7.2,0.33,0.34,2,0.044,61,171,0.98947,3.25,0.53,13.3,1
3480,6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,1
3481,6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,1
3482,5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,1
3483,7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,1
3484,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,1
3485,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,1
3486,7.8,0.15,0.34,1.1,0.035,31,93,0.99096,3.07,0.72,11.3,1
3487,6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,1
3488,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,1
3489,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,1
3490,7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,1
3491,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,1
3492,7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7,1
3493,5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,1
3494,6.6,0.19,0.35,1.5,0.037,37,107,0.99006,3.18,0.68,12,1
3495,5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,1
3496,5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,1
3497,6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,1
3498,7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,1
3499,6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,1
3500,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,1
3501,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,1
3502,7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,1
3503,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,1
3504,6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,1
3505,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,1
3506,6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,1
3507,7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,1
3508,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,1
3509,8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,1
3510,6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,1
3511,6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,1
3512,7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,1
3513,6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,1
3514,6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,1
3515,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,1
3516,5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,1
3517,5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,1
3518,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,1
3519,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,1
3520,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,1
3521,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,1
3522,6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,1
3523,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,1
3524,5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,1
3525,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,1
3526,7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,1
3527,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,1
3528,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,1
3529,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,1
3530,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,1
3531,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,1
3532,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,1
3533,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,1
3534,5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,1
3535,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,1
3536,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,1
3537,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,1
3538,6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,1
3539,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,1
3540,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,1
3541,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,1
3542,6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,1
3543,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3544,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3545,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3546,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3547,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3548,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3549,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3550,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1
3551,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,1
3552,6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,1
3553,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,1
3554,6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,1
3555,6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,1
3556,5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,1
3557,6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9,1
3558,7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,1
3559,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,1
