ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1,quality
1,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,1,7
2,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,1,7
3,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,1,8
4,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,1,8
5,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,1,7
6,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,1,8
7,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,1,7
8,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,1,7
9,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,1,7
10,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,1,7
11,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,1,7
12,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,1,8
13,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,1,8
14,7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,1,7
15,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,1,7
16,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,1,7
17,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,1,7
18,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,1,7
19,8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,1,7
20,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,1,7
21,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,1,7
22,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,1,7
23,6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,1,7
24,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,1,7
25,7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,1,7
26,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,1,7
27,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,1,8
28,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,1,8
29,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,1,7
30,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,1,7
31,6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,1,7
32,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,1,8
33,6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,1,7
34,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,1,7
35,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,1,7
36,7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,1,7
37,7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,1,7
38,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,1,7
39,5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,1,7
40,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,1,7
41,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,1,8
42,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,1,7
43,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,1,7
44,7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,1,7
45,7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,1,8
46,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,1,8
47,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,1,7
48,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,1,7
49,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,1,7
50,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,1,7
51,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,1,7
52,7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,1,7
53,6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,1,7
54,6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,1,7
55,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,1,8
56,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,1,7
57,6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,1,7
58,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,1,8
59,6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,1,7
